FID	IID	ZAverage
108	108	1.8632767977020996
139	139	-0.21545742149246294
159	159	-0.5682571044437349
265	265	1.7766407628622174
350	350	-6.0817578130243265E-2
351	351	-0.55221252272635513
403	403	0.56982409022021019
410	410	-0.70519095114659891
424	424	-0.80408031802840563
428	428	-0.92415288260585127
506	506	-0.39112230147362009
630	630	-0.86219131450386066
687	687	-0.63511105371109822
728	728	-0.84805762267605
763	763	0.52044406328012593
768	768	-1.1540963027752653
801	801	-0.1685119983836032
870	870	-0.49973762306113723
915	915	-0.63577107123046317
932	932	-0.79962843528583649
997	997	-0.3034082886812014
1002	1002	0.90322707813858893
1066	1066	0.27865972399061706
1158	1158	-0.4821843668377444
1317	1317	2.2118974224073762
1435	1435	-1.9239491147044003E-2
1684	1684	-0.94484947172403189
1741	1741	-0.34992143907909024
1829	1829	-0.5077914846746352
1872	1872	-0.27119832154165313
1890	1890	-0.2153141964844269
1925	1925	-0.78489812468197229
1954	1954	-0.88854273991023158
2016	2016	-1.0145117739234173
2017	2017	-0.80691094074889569
2031	2031	-1.3326668350342754
2171	2171	-0.77804225378607306
2202	2202	-0.1761238539082402
2212	2212	-0.5843783119039736
2276	2276	-0.3912916567777025
2278	2278	-0.31886596696957853
2317	2317	-0.49013196457515318
2370	2370	-0.55146772443245107
4779	4779	-0.10813991220605203
4807	4807	-0.43837025278695085
4826	4826	0.42900979886346746
4884	4884	-0.77042149810893046
4931	4931	-0.71298252129143269
4939	4939	-0.53117961057020568
4958	4958	-0.13638024858812173
5023	5023	0.42667074517137416
5104	5104	-0.24390701380640264
5151	5151	-0.3447021004056301
5210	5210	-0.65601989535484451
5236	5236	-0.25596620069559844
5276	5276	-0.19203096089741517
5279	5279	-0.61960951887562765
5349	5349	-0.76832156784485606
5353	5353	0.99789627162525951
5395	5395	0.40159338543562811
5486	5486	-0.86754103102089275
5535	5535	0.95336011337985416
5577	5577	0.18128698705360452
5644	5644	0.59945799812693112
5717	5717	-0.80831509528598078
5718	5718	-0.56682343435252103
5720	5720	-0.20327288517555103
5726	5726	-8.088439723979525E-2
5741	5741	-0.49893200348391364
5748	5748	-9.8472817416475206E-2
5768	5768	-1.7160903453132845E-2
5772	5772	-0.7826439313161726
5778	5778	-1.0194726291963838
5779	5779	-0.52303815345963078
5784	5784	-0.55443221440083901
5798	5798	-0.39627854535641749
5800	5800	-0.67811672836602754
5811	5811	0.25920992792513509
5818	5818	-0.65216809728843361
5822	5822	-0.86899807911437921
5831	5831	-0.44574012680848796
5837	5837	0.30587902862508998
5860	5860	-3.8634906098216133E-2
5874	5874	-0.82213607556012147
5890	5890	-1.1386100857872641
5893	5893	-5.4076252475215403E-4
5907	5907	-4.3324300107285427E-2
5921	5921	-4.7344812208225145E-2
5950	5950	0.34442922745186622
5984	5984	4.9392019572448917E-2
5993	5993	-0.37713366019652955
6008	6008	6.0308473540623714E-2
6009	6009	0.24577445527829395
6017	6017	-0.18186114061707206
6020	6020	-9.0235904910683881E-2
6024	6024	0.1720059327019281
6025	6025	4.9775394128188828E-2
6038	6038	-0.46633987110618658
6041	6041	-0.63337301685802472
6064	6064	-0.48828526447352516
6086	6086	-0.38683683478861836
6097	6097	-0.2055068876702216
6099	6099	2.4619005710109021
6106	6106	1.0377324409969966
6107	6107	-0.34648051103982713
6108	6108	0.91151745439454712
6111	6111	0.87655659705927147
6133	6133	0.34960182007467411
6137	6137	0.23006759570808735
6138	6138	-0.14658983529486999
6140	6140	-0.5204056964986965
6145	6145	4.9837379025170605E-3
6148	6148	-1.7314473552483403E-2
6154	6154	-0.19842076327925534
6163	6163	-0.10979846513991585
6166	6166	0.99217451593817707
6169	6169	0.20208077344133218
6171	6171	1.4629339999353634
6174	6174	0.63557463333964592
6177	6177	1.1877199232047102
6194	6194	-0.4262420378985321
6195	6195	-0.37906615380405101
6198	6198	-0.15252019641305781
6201	6201	0.76024692071058297
6203	6203	-0.75781436034888816
6217	6217	0.25116077816039029
6218	6218	1.5138987564849162
6220	6220	-0.22127053952914547
6240	6240	-0.37845394137968968
6241	6241	0.626753157208226
6255	6255	0.314020014212327
6268	6268	1.1914712033250274
6284	6284	-0.3241850181736346
6296	6296	-0.24273636429882772
6390	6390	-0.1997998929991095
6424	6424	-0.56109607318178034
6434	6434	0.12879246784721365
6445	6445	-0.15542954227706413
6680	6680	-0.25430668008523283
6709	6709	-0.63392970207985466
6744	6744	1.882101853905821
6830	6830	-0.32571179830183677
6900	6900	0.63742332174731187
6906	6906	-0.11066800676963108
6907	6907	0.38502698867902518
6908	6908	-0.13722762804960503
6909	6909	-1.1068516128834873
6911	6911	-0.68593668584905232
6917	6917	0.26088666036720787
6923	6923	-0.51088014551051819
6933	6933	-1.0233571801777941
6937	6937	-0.54150954429404852
6939	6939	-0.55088419441299852
6943	6943	-0.41719200266698131
6944	6944	-0.77859029751328124
6957	6957	5.4306609968008637E-2
6960	6960	-4.9568178442463709E-2
6966	6966	-0.67911824191567138
